text,label
"@CabanesVoltaire papunta na sa sunog ganun HAHAHHAAHHAHAHAHAHAHHAHAHA

its the tostado for us ✊",0.0
Gwapoo pa din naman🥴 https://t.co/BJEcxgFhPW,0.0
@gaynnneth @sophiaingrid_ may nalipad na apoy rin dyan e,0.0
"Pinangunahan ni Bacoor City Mayor Lani Revilla ang pamamahagi ng financial assistance sa mga biktima ng sunog na na-relocate sa Rancho Verde, Naic. 

📷 City Government of Bacoor https://t.co/IkI0iMUhpn",1.0
@saintenjeru di pa ko sigurado kung ano yung cause ng sunog e.,1.0
SUNOG!!!!!! 😭😭,1.0
"VIDEO: Sunog sa ikalawang palapag ng isang commercial-residential building sa Annapolis St., San Juan City, itinaas na sa ikalawang alarma; ilang residente na naiwan sa gusali, sinasagip. | via @divinereyes https://t.co/ftqwsElmx2",1.0
grabe yung sunog dito sa amin parang ayoko na magkaroon ng kalan,1.0
kahit gaano talaga kalalim tulog ko pag narinig kong may sunog tayo agad taena,1.0
tangina may sunog nanaman dito sa pulang lupa,1.0
biboha ganiha oy sunog pud lage kay akong lawas -____-,0.0
"Tinupok ng apoy ang isang courier company sa Malate, Maynila umaga nitong Lunes at hindi pa mabatid ang kabuuang halaga ng mga package na naabo.
https://t.co/4NeFetpFKx
#TunayNaTabloidista 
#ToniteNews",1.0
"ALERT!

PANIBAGONG SUNOG SA BACOOR

Ngayong ika-8 ng Disyembre, ganap na ika-4 ng hapon ay nagkaroon ng sunog sa maralitang lungsod ng Zapote II, Bacoor, Cavite. 

Sa kasalukuyan, napagbigay-alam na naapula na ang apoy. https://t.co/GitIfu4gpp",1.0
Kaya pala kagabi may naririnig ako mga truck ng bumbero sa laya pala ang sunog 😢😢,1.0
Potaena anlapit ng sunog samin 😳,1.0
@JLRCSTLL bakit apoy ka?,0.0
sunog ang muka ko Hahahaha,0.0
@Itssassagurl Kaya yan mah. Bugahan mo sila ng apoy,0.0
Sunog🔥,1.0
isang commercial bldg ang natupok ng apoy sa  Libertad Pasay.. https://t.co/EctsBrLdOX,1.0
"grabe ang lapit ng sunog sa’min kanina, tysmL ‘di kami inabot 🥺",1.0
"Kht ano gstu. I handa ko self ko

REQUEST @SB19Official @MTV #FridayLivestream

SB19 Comeback D6
#SB19WHATPhotoTeaser2
#SB19_STELL #SB19 https://t.co/U7EU7t1ZB6",0.0
Lakas ng sunog sa zamora,1.0
Taena sunog na pala mukha ko HAHAHAHAHA,0.0
